Well_Name,depth,AC,At10,At20,At30,At60,At90,CNL,DEN,GR,PE,SP,RESULT(OG_DZFC),LITH
城96,1983.31359,242.4302063,25.4852314,32.35187531,32.87763214,32.575737,32.79449081,23.17000008,2.658737183,125.3002014,3.38807869,72.32575226,chang7,3
城96,1983.43859,250.3213501,24.74210548,31.24452209,31.83538437,31.60212708,31.94073105,25.34000015,2.627694845,136.183197,3.423350573,72.16140747,chang7,3
城96,1983.56359,254.8261261,24.4874897,30.24879074,30.87615585,30.7730732,31.23825836,27.31999969,2.609139204,146.2024994,3.492997885,71.94295502,chang7,3
城96,1983.68859,253.1321716,23.87254906,29.29361725,29.85647964,29.73617172,30.36853027,27.01000023,2.606889009,154.7467957,3.559527874,71.72977448,chang7,3
城96,1983.81359,246.7554321,23.55541039,28.85616493,29.35267067,29.11592865,29.6973877,24.85000038,2.624193907,153.2131958,3.570116997,71.54161072,chang7,3
城96,1983.93859,238.6544189,24.15587425,29.18405342,29.59983635,29.23421669,29.63516617,22.89999962,2.644202232,146.9315948,3.555880785,71.40747833,chang7,3
城96,1984.06359,230.4963226,24.80529213,29.98695374,30.33817863,29.8927021,30.04034805,22.09000015,2.660374641,139.4564972,3.526095629,71.36802673,chang7,3
城96,1984.18859,224.7769318,24.92199326,30.99172401,31.27549362,30.68995667,30.65532112,21.18000031,2.670105696,128.0639038,3.5089221,71.41635132,chang7,3
城96,1984.31359,222.6648254,25.3927784,31.74886894,31.95802689,31.22810364,30.86929131,20.97000122,2.675518274,126.3052979,3.510885954,71.54948425,chang7,3
城96,1984.43859,221.4389954,25.5979538,32.3990097,32.48791504,31.69285202,30.95433617,20.29000092,2.683055878,123.9592972,3.502518415,71.70429993,chang7,3
城96,1984.56359,219.4844513,25.75396538,32.86237717,32.78543854,32.03479004,30.97435188,19.43000031,2.685613632,124.5802002,3.509096861,71.85556793,chang7,3
城96,1984.68859,217.6373749,25.8923378,33.02633667,32.82988358,32.0259285,30.95979881,18.70999908,2.692148685,125.9999008,3.477716446,71.98780823,chang7,3
城96,1984.81359,216.6056061,26.14972496,33.10357285,32.89387894,32.00085831,30.86048508,18.32999992,2.694817781,125.3188019,3.430577517,72.08956909,chang7,3
城96,1984.93859,216.3707733,26.3087635,33.18858719,32.92344284,32.05400085,30.79371262,18.19999886,2.694435835,128.0386963,3.374514341,72.15764618,chang7,3
城96,1985.06359,216.2695923,26.47321701,33.29212952,33.0074501,31.99816132,30.6484623,18.37999916,2.692789078,130.2951965,3.31483078,72.21261597,chang7,3
城96,1985.18859,215.8592834,26.85616875,33.60001373,33.33879471,31.93735504,30.77436066,18.02000046,2.689382076,130.3307037,3.265964985,72.25582123,chang7,3
城96,1985.31359,214.7781219,27.18338585,34.05262375,33.68291855,32.06047821,30.94272804,17.14999962,2.688650131,129.4197998,3.224778652,72.28820801,chang7,3
城96,1985.43859,212.9093323,27.5213604,34.44626236,34.12533569,32.06087112,30.98537636,16.25,2.688754082,126.8627014,3.204390049,72.3081131,chang7,3
城96,1985.56359,211.1917267,27.91514587,34.87324905,34.48248672,32.26383209,31.33498764,16.17000008,2.68548727,120.0031967,3.2229774,72.31466675,chang7,3
城96,1985.68859,210.5935516,28.13939476,35.05847168,34.64606857,32.3241539,31.31440735,15.90999985,2.680062532,119.3098984,3.271197319,72.33637238,chang7,3
城96,1985.81359,210.9996033,28.14420319,35.03004456,34.63690567,32.17687225,31.20399666,16.13000107,2.670803308,117.0867004,3.331493378,72.50034332,chang7,3
城96,1985.93859,212.1630707,27.9700737,34.75952148,34.41447449,31.85713005,30.97916985,15.78000069,2.666290998,117.656601,3.364302635,72.68858337,chang7,3
城96,1986.06359,213.8566742,27.72719765,34.38301849,34.05225372,31.59505272,30.649086,15.39999962,2.660773516,120.5161972,3.384658813,72.8647995,chang7,3
城96,1986.18859,215.641571,27.49703407,34.04785919,33.75419998,31.36732483,30.44559669,15.69000053,2.659200668,122.8796005,3.383196592,73.02630615,chang7,3
城96,1986.31359,217.0308533,27.34503365,33.79043579,33.53377914,31.22199249,30.30589867,16.11000061,2.661538124,120.7539978,3.371078491,73.1231842,chang7,3
城96,1986.43859,217.4603729,27.34834099,33.7069931,33.48501587,31.22374916,30.26727486,16.65999985,2.664829969,118.2686996,3.353519917,72.90439606,chang7,3
城96,1986.56359,216.9259491,27.49637413,33.81214905,33.62834549,31.36447906,30.54841805,16.89999962,2.674940109,116.0509033,3.301672697,72.5891571,chang7,3
城96,1986.68859,215.8995667,27.78268814,34.13491821,34.0114212,31.89182091,31.04556084,16.54999924,2.682817698,116.2217026,3.24977541,72.22147369,chang7,3
城96,1986.81359,214.5631256,28.16773987,34.60359192,34.58162689,32.48129654,31.49493027,15.80999947,2.68999505,117.8820038,3.194095612,71.79704285,chang7,3
城96,1986.93859,213.2426147,28.62508392,35.2026329,35.32922745,33.0615654,32.13279724,15.25,2.690079212,117.8052979,3.179094553,71.35134125,chang7,3
城96,1987.06359,212.4831238,29.15697098,35.88071442,36.12771606,33.82254028,32.89217758,15.18000031,2.685787678,117.8768005,3.195533514,71.02633667,chang7,3
城96,1987.18859,211.8918762,29.63510704,36.51158524,36.89794922,34.56000137,33.6559906,15.26000023,2.676309347,114.7577972,3.237430573,70.74932861,chang7,3
城96,1987.31359,210.7398834,30.14951897,37.23316193,37.83332443,35.28008652,34.52054214,15.11999989,2.668149948,114.7940979,3.26608181,70.55018616,chang7,3
城96,1987.43859,209.2990723,30.66783333,37.90130615,38.61976242,36.24845886,35.38937378,14.4800005,2.663547516,115.7220993,3.26587081,70.44835663,chang7,3
城96,1987.56359,208.720108,31.09433937,38.40844727,39.24299622,36.89764786,36.07919693,13.42999935,2.660457134,115.2687988,3.249221563,70.42668152,chang7,3
城96,1987.68859,209.1849976,31.34247398,38.80011368,39.76467896,37.43106842,36.67088318,12.78000069,2.658737659,116.5876999,3.226704359,70.45658112,chang7,3
城96,1987.81359,209.5116577,31.41299057,39.1579895,40.23739243,37.88296509,37.16857147,12.97000027,2.661688089,113.4367981,3.190026045,70.49745941,chang7,3
城96,1987.93859,209.5345001,31.40566444,39.56206131,40.68881226,38.25952911,37.59819794,13.13000011,2.661301374,110.7893982,3.180589199,70.51041412,chang7,3
城96,1988.06359,209.7268677,31.44839478,39.9987793,41.08041,38.60405731,37.96746826,12.85999966,2.663480997,107.5334015,3.177716494,70.49066925,chang7,3
城96,1988.18859,209.68013,31.41080093,40.42027283,41.51572418,38.8899765,38.307621,12.2699995,2.665369749,105.0249023,3.183826208,70.45154572,chang7,3
城96,1988.31359,210.3002777,31.472229,40.94409943,42.03956985,39.30861282,38.72224045,11.86999989,2.661477327,105.9921036,3.216199636,70.41251373,chang7,3
城96,1988.43859,214.9728699,31.63403702,41.53035355,42.66117859,39.86720276,39.2285881,12.54000092,2.662636995,110.2127991,3.207409143,70.38759613,chang7,3
城96,1988.56359,223.1417542,31.88981247,42.19556046,43.41036224,40.60734177,39.87366867,14.59999943,2.656038761,124.8609009,3.206430197,70.36468506,chang7,3
城96,1988.68859,229.4762573,32.21963501,42.97546005,44.31962204,41.55544662,40.68333817,17.72000122,2.641607285,137.470993,3.219433784,70.34012604,chang7,3
城96,1988.81359,232.3916321,32.69907379,43.80702591,45.30998993,42.68280411,41.62224579,20.03999901,2.632717371,144.6855011,3.17868042,70.31748962,chang7,3
城96,1988.96095,233.0447235,33.09774017,44.54508972,46.38677216,43.97595596,42.62606049,20.04999924,2.624076843,142.7386932,3.110429764,70.29212952,chang7,3
城96,1988.96095,233.0447235,33.09774017,44.54508972,46.38677216,43.97595596,42.62606049,20.04999924,2.624076843,142.7386932,3.110429764,70.29212952,chang7,5
城96,1989.08595,230.1723633,33.52801514,45.47029114,47.61600494,45.33619308,43.86466217,17.45000076,2.619484663,124.6111984,2.997460842,70.28843689,chang7,5
城96,1989.21095,224.7734985,33.935215,46.2052002,48.62160492,46.59996796,44.92621613,14.44999981,2.610648632,105.7264023,2.893010139,70.40176392,chang7,5
城96,1989.33595,221.2188416,34.29809952,46.93588638,49.63690567,47.81908035,45.98689651,12.62000084,2.592963934,91.15979767,2.855183363,70.54853058,chang7,5
城96,1989.46095,220.0656738,34.49118042,47.71975327,50.5749321,48.89285278,46.93183899,11.90000057,2.580153704,84.084198,2.864355326,70.71910858,chang7,5
城96,1989.58595,219.2724304,34.53465652,48.51449966,51.40779495,49.78833771,47.71997833,11.86000061,2.569269419,82.61299896,2.948273897,70.92827606,chang7,5
城96,1989.71095,218.9487305,34.7079277,49.18246841,52.08582306,50.4725647,48.3207283,12.01000023,2.573409557,83.08429718,3.061313868,71.12343597,chang7,5
城96,1989.83595,220.0760498,34.94929123,49.46053696,52.37067032,50.7191391,48.51742172,12.54999924,2.583359957,87.46790314,3.188234568,71.13899231,chang7,5
城96,1989.96095,222.0243988,35.27611923,49.46969223,52.15505981,50.37267303,48.25642395,13.07000065,2.603238821,96.09020233,3.250090361,71.11899567,chang7,5
城96,1990.08595,223.4838562,35.50297546,49.47529221,51.96295166,49.94384766,47.97632599,14.48999977,2.625606298,105.9163971,3.19755435,71.06364441,chang7,5
城96,1990.21095,224.4653473,36.02954865,49.95412064,52.04959488,49.93585968,47.9449501,15.48999977,2.633818388,110.9673996,3.067609787,70.95508575,chang7,5
城96,1990.33595,225.0682678,36.70391464,50.75157928,52.41935349,49.51808929,47.83549881,15.45999908,2.620774508,108.4540024,2.918576956,70.83437347,chang7,5
城96,1990.46095,224.6472168,37.20334625,51.699646,52.95193863,49.29607773,47.83165359,15.11999989,2.587676287,100.5737,2.809597731,70.81968689,chang7,5
城96,1990.58595,223.4515228,37.0249176,51.50094986,52.55768585,48.32372284,47.12992477,13.72000027,2.554087162,87.76010132,2.745717049,70.88659668,chang7,5
城96,1990.71095,223.0714417,35.82845688,49.02494812,49.89744568,45.65245819,44.77375793,13.13000011,2.537082434,83.47039795,2.718881369,71.06349945,chang7,5
城96,1990.83595,224.3262939,33.53160095,44.55797958,45.17009354,40.7417717,40.44888687,13.24999905,2.543130159,85.9088974,2.750846863,71.34533691,chang7,5
城96,1990.96095,226.4109955,30.25212288,39.2430687,39.56691742,35.47331238,35.44377518,14.17000008,2.576871395,96.51339722,2.81803441,71.70409393,chang7,5
城96,1991.13889,229.5226135,27.06508064,34.1954155,34.29320908,31.26423836,30.8791256,16,2.617855787,114.8295975,2.947391272,72.08957672,chang7,5
城96,1991.13889,229.5226135,27.06508064,34.1954155,34.29320908,31.26423836,30.8791256,16,2.617855787,114.8295975,2.947391272,72.08957672,chang7,3
城96,1991.26389,234.2902222,24.93778801,30.1374054,30.11990929,28.01673698,27.30379105,18.92000008,2.653540134,129.9660034,3.103123426,72.44445038,chang7,3
城96,1991.38889,238.3110809,23.09267616,27.27338982,27.20847893,25.47405624,24.76827621,20.65999985,2.671570301,139.5135956,3.254697561,72.71575928,chang7,3
城96,1991.51389,239.4596252,21.90173531,25.57008362,25.49798775,24.04358292,23.31427002,22.05999947,2.679774046,140.1885071,3.357988834,72.91384888,chang7,3
城96,1991.63889,238.6505737,21.83031654,25.06083679,24.99056435,23.67689705,22.92670441,22.54000092,2.68675828,137.9414978,3.381131411,73.03919983,chang7,3
城96,1991.76389,236.0974731,22.61294556,25.52292824,25.48063278,24.18964195,23.35242462,22.22000122,2.695549488,136.5941925,3.354933977,73.09633636,chang7,3
城96,1991.88889,231.7729034,23.82546425,26.80105591,26.80997467,25.50902557,24.43178368,21.85000038,2.706282139,136.527298,3.30389595,73.09757233,chang7,3
城96,1992.01389,227.1815186,25.15117455,28.77338219,28.80134583,27.56888199,26.09546089,19.92000008,2.70663929,139.7792053,3.284279823,73.06860352,chang7,3
城96,1992.13889,223.0529175,26.45684242,31.18503571,31.16242027,29.85378647,28.15188599,18.56999969,2.698897362,134.4234009,3.269010067,73.02748871,chang7,3
城96,1992.31155,219.5766907,28.16972923,33.95968628,33.9330368,32.19277573,30.27960587,16.72999954,2.690849304,126.5106964,3.23835659,72.98360443,chang7,3
城96,1992.31155,219.5766907,29.85873413,36.74944305,36.7057724,34.68132782,32.51769638,16.72999954,2.678471565,126.5106964,3.177790403,72.98360443,chang7,2
城96,1992.43655,217.1051941,31.08403969,39.22783661,39.21717834,36.88534164,34.51738358,14.82000065,2.668830633,118.3482971,3.100176573,72.93662262,chang7,2
城96,1992.56155,216.3572235,31.74087143,41.18624496,41.31527328,38.68864822,36.1011734,13.68999958,2.658227444,112.1231995,3.056464911,72.90451813,chang7,2
城96,1992.68655,218.0216675,32.01133728,42.42779922,42.68302155,39.33478165,36.86864471,13.82999992,2.639929533,112.7388,3.044924259,72.89395142,chang7,2
城96,1992.81155,220.5830383,32.15125656,43.25912476,43.52816391,39.80595398,37.34079742,15.06000042,2.618160248,115.0194016,3.074331999,72.81330872,chang7,2
城96,1992.93655,222.352417,32.37171936,44.31912231,44.60982513,41.35008621,38.30156708,16.05000114,2.600045681,111.7105026,3.072073936,72.66217041,chang7,2
城96,1993.06155,223.5906525,32.63222504,45.41357803,45.82466888,42.54593658,39.29276657,16,2.593044758,107.3457031,3.032275438,72.46179962,chang7,2
城96,1993.18655,223.7149506,33.11146927,46.77106857,47.32016754,44.03824615,40.55391693,15.25,2.593734026,103.8358002,2.983520031,72.17419434,chang7,2
城96,1993.31155,222.6764221,33.9445343,48.69934845,49.41747665,46.06030273,42.29114914,14.96000004,2.602941751,100.8835983,2.911774874,71.76551819,chang7,2
城96,1993.43655,222.388031,35.13226318,51.46863937,52.33008957,49.31860352,44.63238907,15.27999973,2.593531847,103.8863983,2.867782593,71.34444427,chang7,2
城96,1993.56155,222.7619019,36.72927475,55.62103271,56.69405746,53.44203949,48.36244965,15.2300005,2.584133148,103.0031967,2.772144079,70.93506622,chang7,2
城96,1993.68655,222.8780823,38.56478119,60.18686676,61.70279312,57.64830399,52.01132584,14.9800005,2.562833071,100.2053986,2.69880414,70.5553894,chang7,2
城96,1993.81155,223.2779846,40.57389069,66.06549072,67.59705353,62.76137161,56.54172897,14.39999962,2.539250851,94.28769684,2.644663334,70.26506805,chang7,2
城96,1993.93655,223.9366455,42.3757019,72.23899078,73.91655731,68.28819275,61.49917603,13.64000034,2.530969858,85.23999786,2.581976891,70.117836,chang7,2
城96,1994.06155,224.3704224,43.4178009,77.30270386,78.93476868,72.85906219,65.37786102,13.40000057,2.516326189,76.62259674,2.57956171,70.08776093,chang7,2
城96,1994.18655,224.8882446,43.42912292,79.98138428,81.26792145,73.85945892,67.18090057,13.0899992,2.510688305,70.0141983,2.563717842,70.15842438,chang7,2
城96,1994.31155,225.4586487,42.33662033,79.11895752,79.93742371,71.90014648,66.25538635,12.76000023,2.505849361,68.69329834,2.558022738,70.29901123,chang7,2
城96,1994.43655,225.5261993,40.69768143,74.77194977,75.47190094,68.16676331,62.9335556,12.53000069,2.502194166,71.17900085,2.573088408,70.48127747,chang7,2
城96,1994.56155,224.9297791,38.95315552,67.83357239,68.78630066,63.54745483,57.74040604,12.43999958,2.515998125,75.61299896,2.571592093,70.68080902,chang7,2
城96,1994.68655,223.9048309,37.43350983,60.30498886,61.62603378,58.89073944,53.26097107,12.47999954,2.537044048,80.3082962,2.593894958,70.88699341,chang7,2
城96,1994.81155,222.752182,36.36016464,53.60132217,55.34822083,54.57714462,50.36714172,12.64999962,2.554814339,85.0542984,2.659950972,71.09381104,chang7,2
城96,1994.93655,221.6987762,34.3216629,47.73376083,50.02942657,49.68574524,48.40634155,12.93999958,2.565558434,88.31349945,2.737577677,71.29721069,chang7,2
城96,1995.06155,221.1783447,31.65671349,42.5653038,44.93113708,43.26784515,42.67876053,13.06000042,2.570257187,89.30370331,2.808888912,71.49337769,chang7,2
城96,1995.18655,221.4970398,28.35232544,37.21367264,38.90073395,36.45431137,35.82391357,13.15000057,2.580401659,89.24819946,2.8376019,71.68118286,chang7,2
城96,1995.31155,222.1163025,24.3393116,30.59500885,31.27330971,29.38844299,29.10248375,13.39000034,2.593208551,90.65979767,2.868526936,71.87329102,chang7,2
城96,1995.40019,222.4609985,19.88843346,23.49095535,23.67092514,22.61969948,22.74092102,13.80999947,2.616332531,97.02719879,2.898927927,72.09332275,chang7,2
城96,1995.40019,222.4609985,24.3393116,30.59500885,31.27330971,29.38844299,29.10248375,13.80999947,2.593208551,97.02719879,2.868526936,72.09332275,chang7,3
城96,1995.52519,223.0700226,19.88843346,23.49095535,23.67092514,22.61969948,22.74092102,14.50999928,2.616332531,105.8748016,2.898927927,72.37075043,chang7,3
城96,1995.65019,224.9321899,15.1282053,17.32969093,17.36999893,16.70508003,16.97947884,15.53999901,2.632905483,115.5842972,2.997807503,72.68486023,chang7,3
城96,1995.77519,228.6689758,11.5258894,12.99309063,13.29256725,12.47046852,12.63125038,16.97999954,2.646650553,124.7080994,3.123129368,73.10603333,chang7,3
城96,1995.90019,234.1458282,9.407470703,10.32801342,10.32618713,9.817771912,9.91067028,18.89999962,2.660017014,132.9044037,3.248116255,73.57479858,chang7,3
城96,1996.02519,239.9724579,7.998740673,8.63193512,8.581314087,8.385769844,8.405234337,21.15999985,2.67009449,140.3591003,3.357954502,74.00007629,chang7,3
城96,1996.15019,243.9508057,7.46737957,8.202877045,8.109104156,7.968734741,7.945294857,22.77000046,2.681561708,146.9306946,3.408307552,74.335289,chang7,3
城96,1996.27519,244.6529083,7.908294201,8.713680267,8.568199158,8.423424721,8.391836166,22.92000008,2.687155247,148.0942993,3.425055265,74.60871124,chang7,3
城96,1996.40019,242.0730286,9.312644005,10.18477345,9.972657204,9.816411972,9.839081764,21.45999908,2.681959867,144.9797974,3.421980619,74.66278839,chang7,3
城96,1996.52519,237.0845947,11.54988289,12.83093071,12.50734711,12.5264082,12.38619804,19.61999893,2.661741018,137.8874054,3.442338228,74.55432892,chang7,3
城96,1996.65019,231.3607483,14.52029037,16.70090294,16.45373917,16.82164955,16.35475731,18.06999969,2.642259836,127.5127029,3.463529587,74.39299774,chang7,3
城96,1996.77519,226.6989746,18.89842606,22.51349449,22.24031258,22.69415283,22.11623573,16.63999939,2.629305124,115.3761978,3.475754499,74.22484589,chang7,3
城96,1996.90019,223.7847748,22.81707954,27.92794609,27.02706718,27.1352787,26.77151299,16.22000122,2.623909235,111.1555023,3.471713066,74.06822205,chang7,3
城96,1997.02519,222.2203979,24.44320869,30.46302414,29.33861732,29.55152512,29.04143143,15.81999969,2.63355279,109.5254974,3.39920187,74.02017212,chang7,3
城96,1997.15019,221.3230286,24.30247116,31.03108788,30.55230522,30.77634239,30.19566345,15.21000004,2.640139103,111.071701,3.322230577,74.08498383,chang7,3
城96,1997.27519,220.7363281,23.48527718,30.40753174,30.77099228,30.86818314,30.34452057,14.71000004,2.64558816,114.1816025,3.254283667,74.21849823,chang7,3
城96,1997.40019,220.6085205,22.86356354,29.76489449,31.11980438,30.99279976,30.4954834,14.60999966,2.648971319,117.2223969,3.216012955,74.37214661,chang7,3
城96,1997.52519,221.1763,22.90605354,29.71805763,30.46172523,30.33042526,29.76933861,14.65000057,2.650081396,121.194603,3.21847415,74.48241425,chang7,3
